SIM-B-001001ACT-B-001 D00000043240020260224553763Simulated deposit                       00
SIM-B-001002ACT-B-003 T00000015680020260224553763Outbound interbank transfer             00
SIM-B-001003ACT-B-005 W00000019310020260224553763Simulated withdrawal                    00
SIM-B-001004ACT-B-007 D00000021500020260224553763Simulated deposit                       00
SIM-B-002001ACT-B-001 T00000001750020260224554272Simulated internal transfer             00
SIM-B-002002ACT-B-003 W00000005440020260224554272Simulated withdrawal                    00
SIM-B-002003ACT-B-005 D00000005090020260224554272Simulated deposit                       00
SIM-B-002004ACT-B-007 D00000004010020260224554272Simulated deposit                       00
SIM-B-003001ACT-B-001 W00000011320020260224554781Simulated withdrawal                    00
SIM-B-003002ACT-B-002 D00000013970020260224554781Simulated deposit                       00
SIM-B-003003ACT-B-004 D00000012890020260224554781Simulated deposit                       00
SIM-B-003004ACT-B-006 T00000026230020260224554781Simulated internal transfer             00
SIM-B-004001ACT-B-002 T00000038040020260224555276Outbound interbank transfer             00
SIM-B-004002ACT-B-004 W00000009050020260224555276Simulated withdrawal                    00
SIM-B-004003ACT-B-006 W00000001240020260224555276Simulated withdrawal                    00
SIM-B-005001ACT-B-002 W00000014930020260224555785Simulated withdrawal                    00
SIM-B-005002ACT-B-003 W00000001150020260224555785Simulated withdrawal                    00
SIM-B-005003ACT-B-004 D00000008910020260224555785Simulated deposit                       00
SIM-B-005004ACT-B-005 D00000033120020260224555785Simulated deposit                       00
SIM-B-005005ACT-B-007 T00000008320020260224555785Simulated internal transfer             00
SIM-B-006001ACT-B-001 D00000017790020260224560294Simulated deposit                       00
SIM-B-006002ACT-B-003 D00000016710020260224560294Simulated deposit                       00
SIM-B-006003ACT-B-005 T00000007790020260224560294Simulated internal transfer             00
SIM-B-006004ACT-B-007 W00000004850020260224560294Simulated withdrawal                    00
SIM-B-007001ACT-B-001 T00000012400020260224560676Outbound interbank transfer             00
SIM-B-007002ACT-B-003 W00000018540020260224560676Simulated withdrawal                    00
SIM-B-007003ACT-B-005 W00000010730020260224560676Simulated withdrawal                    00
SIM-B-007004ACT-B-006 D00000003850020260224560676Simulated deposit                       00
SIM-B-007005ACT-B-007 D00000028060020260224560676Simulated deposit                       00
SIM-B-008001ACT-B-001 W00000004670020260224561176Simulated withdrawal                    00
SIM-B-008002ACT-B-002 W00000010640020260224561176Simulated withdrawal                    00
SIM-B-008003ACT-B-004 D00000036940020260224561176Simulated deposit                       00
SIM-B-008004ACT-B-006 T00000040280020260224561176Outbound interbank transfer             00
SIM-B-009001ACT-B-002 D00000020530020260224561680Simulated deposit                       00
SIM-B-009002ACT-B-004 T00000018350020260224561680Simulated internal transfer             00
SIM-B-009003ACT-B-006 W00000014340020260224561680Simulated withdrawal                    00
SIM-B-010001ACT-B-001 T00000011390020260224562188Simulated internal transfer             00
SIM-B-010002ACT-B-002 T00000017820020260224562188Simulated internal transfer             00
SIM-B-010003ACT-B-003 W00000014250020260224562188Simulated withdrawal                    00
SIM-B-010004ACT-B-004 W00000000470020260224562188Simulated withdrawal                    00
SIM-B-010005ACT-B-005 D00000007670020260224562188Simulated deposit                       00
SIM-B-010006ACT-B-007 D00000006590020260224562188Simulated deposit                       00
SIM-B-011001ACT-B-001 W00000000380020260224562705Simulated withdrawal                    00
SIM-B-011002ACT-B-003 D00000040760020260224562705Simulated deposit                       00
SIM-B-011003ACT-B-005 T00000014640020260224562705Outbound interbank transfer             00
SIM-B-011004ACT-B-007 W00000017950020260224562705Simulated withdrawal                    00
SIM-B-012001ACT-B-001 D00000024350020260224563219Simulated deposit                       00
SIM-B-012002ACT-B-003 T00000028910020260224563219Simulated internal transfer             00
SIM-B-012003ACT-B-004 W00000017860020260224563219Simulated withdrawal                    00
SIM-B-012004ACT-B-005 W00000004080020260224563219Simulated withdrawal                    00
SIM-B-012005ACT-B-006 W00000010050020260224563219Simulated withdrawal                    00
SIM-B-012006ACT-B-007 D00000002610020260224563219Simulated deposit                       00
SIM-B-013001ACT-B-002 W00000003990020260224563614Simulated withdrawal                    00
SIM-B-013002ACT-B-004 D00000011490020260224563614Simulated deposit                       00
SIM-B-013003ACT-B-006 D00000010410020260224563614Simulated deposit                       00
SIM-B-014001ACT-B-002 D00000044580020260224564119Simulated deposit                       00
SIM-B-014002ACT-B-004 T00000037000020260224564119Outbound interbank transfer             00
SIM-B-014003ACT-B-006 W00000007690020260224564119Simulated withdrawal                    00
SIM-B-014004ACT-B-007 W00000013660020260224564119Simulated withdrawal                    00
SIM-B-015001ACT-B-001 T00000034240020260224564615Outbound interbank transfer             00
SIM-B-015002ACT-B-002 T00000010470020260224564615Simulated internal transfer             00
SIM-B-015003ACT-B-003 T00000016900020260224564615Simulated internal transfer             00
SIM-B-015004ACT-B-005 W00000019540020260224564615Simulated withdrawal                    00
SIM-B-015005ACT-B-007 D00000030640020260224564615Simulated deposit                       00
SIM-B-016001ACT-B-001 W00000013480020260224565122Simulated withdrawal                    00
SIM-B-016002ACT-B-003 D00000015310020260224565122Simulated deposit                       00
